"","Symbol_Mouse","Symbol_Human"
"14972","Kl","KL"
"14973","Med26","MED26"
"14974","Napsa","NAPSA"
"14975","Slc4a8","SLC4A8"
"14976","Vps26a","VPS26A"
"14977","Entpd4","ENTPD4"
"14978","Entpd4b","ENTPD4"
"14979","Wtap","WTAP"
"14980","Hdac1","HDAC1"
"14981","Kcnc4","KCNC4"
"14982","Lims1","LIMS1"
"14983","Serpinb10","SERPINB10"
"14984","Rac3","RAC3"
"14985","Rpl3l","RPL3L"
"14986","Slc27a4","SLC27A4"
"14987","Gfpt2","GFPT2"
"14988","Slc23a2","SLC23A2"
"14989","Med12","MED12"
"14990","Nup153","NUP153"
"14991","Sco2","SCO2"
"14992","Anxa3","ANXA3"
"14993","Actc1","ACTC1"
"14994","Aplp1","APLP1"
"14995","Gata6","GATA6"
"14996","Ggt1","GGT1"
"14997","Gnb2","GNB2"
"14998","Pdia3","PDIA3"
"14999","H1f2","H1-2"
"15000","H1f3","H1-3"
"15001","Has3","HAS3"
"15002","Hip1","HIP1"
"15003","Hsp90aa1","HSP90AA1"
"15004","Plxnb3","PLXNB3"
"15005","Hsd11b1","HSD11B1"
"15006","Hspg2","HSPG2"
"15007","Ppp3cc","PPP3CC"
"15008","Taf12","TAF12"
"15009","Nelfa","NELFA"
"15010","Reep5","REEP5"
"15011","Zfp239","ZNF239"
"15012","Ulk3","ULK3"
"15013","Actr3","ACTR3"
"15014","Ddx39a","DDX39A"
"15015","Cd96","CD96"
"15016","Stam2","STAM2"
"15017","Ptk6","PTK6"
"15018","Tuba4a","TUBA4A"
"15019","Tuba1a","TUBA1A"
"15020","Nmur1","NMUR1"
"15021","Tubb3","TUBB3"
"15022","Tubb4b","TUBB4B"
"15023","Ddr2","DDR2"
"15024","Pcbp1","PCBP1"
"15025","Phkg1","PHKG1"
"15026","Pou3f3","POU3F3"
"15027","Myl12a","MYL12B"
"15028","Erf","ERF"
"15029","Reg2","REG1B"
"15031","Slc2a1","SLC2A1"
"15032","Rraga","RRAGA"
"15033","Hspa8","HSPA8"
"15034","Hbs1l","HBS1L"
"15035","Wasf3","WASF3"
"15036","Hpse","HPSE"
"15037","Cdh10","CDH10"
"15038","Slc20a2","SLC20A2"
"15039","Ilvbl","ILVBL"
"15040","Kdelr3","KDELR3"
"15041","Shox2","SHOX2"
"15042","Ifna1","IFNA4"
"15043","Ifna11","IFNA4"
"15044","Ifna12","IFNA4"
"15045","Ifna13","IFNA4"
"15046","Ifna14","IFNA4"
"15047","Ifna15","IFNA4"
"15048","Ifna16","IFNA4"
"15049","Ifna2","IFNA4"
"15050","Ifna5","IFNA4"
"15051","Ifna6","IFNA4"
"15052","Ifna7","IFNA4"
"15053","Ifna9","IFNA4"
"15054","Ifnab","IFNA4"
"15055","Btnl9","BTNL9"
"15056","Rpl10a","RPL10A"
"15057","Olfr90","OR2H2"
"15058","Pomt1","POMT1"
"15059","Klf8","KLF8"
"15060","Gabarapl2","GABARAPL2"
"15061","Ppp2r1a","PPP2R1A"
"15062","Hspa2","HSPA2"
"15064","Coq4","COQ4"
"15065","Rab11b","RAB11B"
"15066","Seh1l","SEH1L"
"15067","Tmed9","TMED9"
"15068","Rap1b","RAP1B"
"15069","Rpf1","RPF1"
"15070","Hipk2","HIPK2"
"15071","Nup62","NUP62"
"15072","Fbxl20","FBXL20"
"15073","Slc25a34","SLC25A34"
"15074","Sec14l4","SEC14L4"
"15075","Osbpl8","OSBPL8"
"15076","Rpl10l","RPL10L"
"15077","Gpt2","GPT2"
"15078","Ppp4r3b","PPP4R3B"
"15079","Imp4","IMP4"
"15080","Alg11","ALG11"
"15081","Ammecr1","AMMECR1"
"15082","Ddx11","DDX11"
"15083","Ccnb1","CCNB1"
"15084","Ccnb1-ps","CCNB1"
"15085","Rhoa","RHOA"
"15086","Dmbt1","DMBT1"
"15087","Grik1","GRIK1"
"15088","Ap2a1","AP2A1"
"15089","Arx","ARX"
"15090","Elovl3","ELOVL3"
"15091","Mark2","MARK2"
"15092","Gas7","GAS7"
"15093","Grid1","GRID1"
"15095","Inpp5b","INPP5B"
"15096","Kif4","KIF4A"
"15098","Nmt1","NMT1"
"15099","Nxn","NXN"
"15100","Pip5k1c","PIP5K1C"
"15101","Bpifa2","BPIFA2"
"15102","Rac1","RAC1"
"15104","Tuba1c","TUBA1C"
"15105","Zfp28","ZFP28"
"15106","Zfp92","ZFP92"
"15108","Ckmt1","CKMT1A"
"15109","Ckmt1","CKMT1B"
"15110","Fgfr1","FGFR1"
"15111","Gab2","GAB2"
"15112","Glra4","GLRA4"
"15113","Mapkapk5","MAPKAPK5"
"15114","Myef2","MYEF2"
"15115","Myl6","MYL6"
"15117","Purb","PURB"
"15118","Six4","SIX4"
"15119","Slc8a1","SLC8A1"
"15125","Tubb5","TUBB"
"15126","Fmnl3","FMNL3"
"15127","Zfp39","ZNF717"
"15128","Ikzf4","IKZF4"
"15129","Car14","CA14"
"15130","Esrrb","ESRRB"
"15131","Mapkbp1","MAPKBP1"
"15132","Map3k3","MAP3K3"
"15133","Pclo","PCLO"
"15134","Asns","ASNS"
"15135","Hyal4","HYAL4"
"15136","Arhgap45","ARHGAP45"
"15137","Fbxl7","FBXL7"
"15138","Slc13a4","SLC13A4"
"15141","Atp2a3","ATP2A3"
"15142","Vps4a","VPS4A"
"15143","Ankrd11","ANKRD11"
"15144","Gnb4","GNB4"
"15145","Sh2d3c","SH2D3C"
"15146","Hsd3b1","HSD3B2"
"15147","Pstpip2","PSTPIP2"
"15148","Opn4","OPN4"
"15149","Hacd1","HACD1"
"15150","Coa3","COA3"
"15151","Cntnap2","CNTNAP2"
"15152","Dynlrb1","DYNLRB1"
"15153","Srpk3","SRPK3"
"15154","Vps41","VPS41"
"15155","Rnf115","RNF115"
"15156","Sult1b1","SULT1B1"
"15157","Slc2a8","SLC2A8"
"15158","Dhx34","DHX34"
"15159","Mon1b","MON1B"
"15160","Ablim3","ABLIM3"
"15161","Wwc1","WWC1"
"15162","Sash1","SASH1"
"15163","Pum2","PUM2"
"15164","Daam2","DAAM2"
"15165","Cnot6","CNOT6"
"15166","Erc2","ERC2"
"15167","Nbea","NBEA"
"15168","Coq2","COQ2"
"15169","Gemin4","GEMIN4"
"15170","Atp9a","ATP9A"
"15171","Rps27l","RPS27L"
"15172","Mrpl2","MRPL2"
"15173","Adipor1","ADIPOR1"
"15174","Slc25a39","SLC25A39"
"15175","Asb2","ASB2"
"15176","Vps28","VPS28"
"15177","Cyb5r4","CYB5R4"
"15178","Acsl5","ACSL5"
"15179","Hsd17b11","HSD17B11"
"15180","Cab39","CAB39"
"15181","Copz2","COPZ2"
"15182","Tubg2","TUBG2"
"15183","Phf7","PHF7"
"15184","Cilk1","CILK1"
"15185","Rab8b","RAB8B"
"15186","Slc15a3","SLC15A3"
"15187","Zfp316","ZNF316"
"15188","Klhdc4","KLHDC4"
"15189","Kif27","KIF27"
"15190","Slc2a6","SLC2A6"
"15191","Dym","DYM"
"15192","Gin1","GIN1"
"15193","Cyp2w1","CYP2W1"
"15194","Osbpl10","OSBPL10"
"15195","Acsm5","ACSM5"
"15196","Urgcp","URGCP"
"15197","Kdm4d","KDM4D"
"15198","Rbm22","RBM22"
"15199","Far2","FAR2"
"15200","Uevld","UEVLD"
"15201","Mctp2","MCTP2"
"15202","Pecr","PECR"
"15203","Chst12","CHST12"
"15204","Cpxm2","CPXM2"
"15205","Pcdhga2","PCDHGA2"
"15206","Pcdhga5","PCDHGA5"
"15207","Pcdhb2","PCDHB2"
"15208","Smox","SMOX"
"15209","Epb41l4b","EPB41L4B"
"15210","Rps6ka4","RPS6KA4"
"15211","Slc2a9","SLC2A9"
"15212","Agpat4","AGPAT4"
"15213","Sdr39u1","SDR39U1"
"15214","Chpt1","CHPT1"
"15215","Man1c1","MAN1C1"
"15216","Abo","ABO"
"15218","Plin4","PLIN4"
"15219","Zfp512b","ZNF512B"
"15220","Nln","NLN"
"15221","Xpo5","XPO5"
"15222","Nlgn2","NLGN2"
"15223","Arrdc3","ARRDC3"
"15224","Zfp248","ZNF248"
"15225","Cacna1i","CACNA1I"
"15226","Ahcyl2","AHCYL2"
"15227","Rbfox1","RBFOX1"
"15228","Nek7","NEK7"
"15229","Myl10","MYL10"
"15230","Cdhr5","CDHR5"
"15231","Klk14","KLK14"
"15232","Kcnk13","KCNK13"
"15233","Pdf","PDF"
"15234","H2bc1","H2BC1"
"15235","Eps8l2","EPS8L2"
"15236","Map1lc3b","MAP1LC3B"
"15237","Tut1","TUT1"
"15238","Yipf7","YIPF7"
"15239","Hrob","HROB"
"15240","Spata5l1","SPATA5L1"
"15241","Trappc6a","TRAPPC6A"
"15242","Dhx58","DHX58"
"15243","Stx1b","STX1B"
"15244","Osbpl9","OSBPL9"
"15245","Gm960","C11orf80"
"15246","Tbl1xr1","TBL1XR1"
"15247","Slc25a22","SLC25A22"
"15248","Mob3b","MOB3B"
"15249","Ephx3","EPHX3"
"15250","Cybrd1","CYBRD1"
"15251","Phc3","PHC3"
"15252","Ccdc170","CCDC170"
"15253","Faap100","FAAP100"
"15254","Col27a1","COL27A1"
"15282","Tril","TRIL"
"15286","Tubb6","TUBB6"
"15287","Hormad1","HORMAD1"
"15288","Cab39l","CAB39L"
"15289","Ints4","INTS4"
"15290","Dclk2","DCLK2"
"15291","4921507P07Rik","C7orf31"
"15292","Septin12","SEPTIN12"
"15294","Selenoo","SELENOO"
"15295","Etnppl","ETNPPL"
"15296","Mtfr2","MTFR2"
"15326","Lmntd1","LMNTD1"
"15327","Tktl2","TKTL2"
"15328","Cant1","CANT1"
"15330","Ier5l","IER5L"
"15331","Tmprss5","TMPRSS5"
"15332","Slc26a5","SLC26A5"
"15333","Tubb1","TUBB1"
"15334","Ccnl2","CCNL2"
"15335","Slc25a31","SLC25A31"
"15336","Gsdmc","GSDMC"
"15337","Gsdmc2","GSDMC"
"15338","Gsdmc3","GSDMC"
"15339","Gsdmc4","GSDMC"
"15340","Ammecr1l","AMMECR1L"
"15341","Tlcd3b","TLCD3B"
"15342","Fam186b","FAM186B"
"15343","Ppp4r3a","PPP4R3A"
"15344","Tmem87b","TMEM87B"
"15345","Mfsd5","MFSD5"
"15346","Lcn8","LCN8"
"15347","Ldhal6b","LDHAL6B"
"15348","Csmd1","CSMD1"
"15349","Cactin","CACTIN"
"15350","Thoc2","THOC2"
"15351","Gimap8","GIMAP8"
"15352","Slc9a9","SLC9A9"
"15353","Cyp4f39","CYP4F22"
"15354","Slc45a4","SLC45A4"
"15355","Sec24a","SEC24A"
"15356","Dnajb13","DNAJB13"
"15357","Ppp2r1b","PPP2R1B"
"15359","Acsm2","ACSM2A"
"15360","Slc37a1","SLC37A1"
"15361","Dclk3","DCLK3"
"15362","Lctl","LCTL"
"15363","Herc6","HERC6"
"15364","Ypel2","YPEL2"
"15365","Ggt7","GGT7"
"15366","Obscn","OBSCN"
"15367","Fmnl2","FMNL2"
"15368","Atg4a","ATG4A"
"15369","Nrep","NREP"
"15372","Pom121","POM121"
"15373","Pom121","POM121C"
"15374","Mtss2","MTSS2"
"15375","Naxe","NAXE"
"15376","Dock11","DOCK11"
"15377","Cc2d1b","CC2D1B"
"15378","Atp10b","ATP10B"
"15379","Oscp1","OSCP1"
"15380","Phlpp2","PHLPP2"
"15381","Clec16a","CLEC16A"
"15382","Raph1","RAPH1"
"15383","Spns2","SPNS2"
"15384","Paqr3","PAQR3"
"15385","Kcnc2","KCNC2"
"15387","Abca6","ABCA6"
"15388","Uap1l1","UAP1L1"
"15389","Msrb3","MSRB3"
"15390","Slc29a4","SLC29A4"
"15391","Usp51","USP51"
"15393","Papln","PAPLN"
"15394","Hsd17b13","HSD17B13"
"15395","Pglyrp3","PGLYRP3"
"15396","Tmem132d","TMEM132D"
"15397","Kcne2","KCNE2"
"15398","Aasdh","AASDH"
"15399","Ttc30b","TTC30B"
"15400","Slc16a13","SLC16A13"
"15401","Rsph4a","RSPH4A"
"15402","Glb1l2","GLB1L2"
"15403","Galm","GALM"
"15404","Liph","LIPH"
"15405","Otoa","OTOA"
"15406","Cfap45","CFAP45"
"15407","Tmem67","TMEM67"
"15408","Tekt5","TEKT5"
"15409","Rmdn2","RMDN2"
"15410","Ces4a","CES4A"
"15411","Olfr791","OR6C2"
"15412","Olfr1356","OR7C2"
"15415","Olfr368","OR5C1"
"15416","Olfr735","OR4Q3"
"15417","Olfr222","OR2B11"
"15419","Olfr723","OR4L1"
"15420","Olfr724","OR4L1"
"15422","Olfr95","OR10C1"
"15423","Olfr732","LOC102723532"
"15424","Olfr732","OR4N4"
"15425","Olfr419","OR10Z1"
"15426","Olfr502","OR5P2"
"15427","Olfr1156","OR5L2"
"15430","Olfr480","OR5P3"
"15431","Olfr508","OR5P3"
"15434","Olfr714","OR10A2"
"15435","Olfr669","OR52N1"
"15436","Orai3","ORAI3"
"15437","Tyw5","TYW5"
"15438","Atp6v0d2","ATP6V0D2"
"15439","Slc44a5","SLC44A5"
"15440","Paox","PAOX"
"15441","Slc36a2","SLC36A2"
"15442","Col23a1","COL23A1"
"15443","Dnah17","DNAH17"
"15444","Dnah2","DNAH2"
"15445","Flywch1","FLYWCH1"
"15446","Adgrg4","ADGRG4"
"15447","Patj","PATJ"
"15448","Zfp628","ZNF628"
"15449","Spire2","SPIRE2"
"15451","Zfp609","ZNF609"
"15452","Zfp454","ZNF454"
"15453","Dip2b","DIP2B"
"15454","Cers6","CERS6"
"15455","Slc9a4","SLC9A4"
"15456","Mkx","MKX"
"15457","Glb1l3","GLB1L3"
"15458","Fam98b","FAM98B"
"15459","Six5","SIX5"
"15460","Nwd1","NWD1"
"15461","Ccdc157","CCDC157"
"15463","Caps2","CAPS2"
"15464","Acsm4","ACSM4"
"15465","Themis","THEMIS"
"15466","Opn5","OPN5"
"15467","Olfr91","OR2H1"
"15471","Clec4a1","ZNF705A"
"15472","Chd8","CHD8"
"15476","Otud6a","OTUD6A"
"15477","Slc2a7","SLC2A7"
"15478","Arid3c","ARID3C"
"15480","Cfap47","CXorf22"
"15482","Casp16","CASP16P"
"15483","Btbd11","BTBD11"
"15485","Kif7","KIF7"
"15487","Tlcd5","TLCD5"
"15488","Mageb16","MAGEB16"
"15490","Atg9b","ATG9B"
"15491","Nuggc","NUGGC"
"15492","Olfr1500","OR9Q1"
"15493","Galnt9","GALNT9"
"15494","Tmem8b","TMEM8B"
"15495","Olfr1357","OR1I1"
"15496","Olfr618","OR52B6"
"15497","Tmem170b","TMEM170B"
"15498","Dnajc4","DNAJC4"
"15499","Greb1l","GREB1L"
"15500","Atp2c2","ATP2C2"
"15501","Kpna7","KPNA7"
"15502","Cep192","CEP192"
"15503","Ubap2","UBAP2"
"15505","Arsb","ARSB"
"15506","Cd36","CD36"
"15507","Clcn5","CLCN5"
"15508","Col1a1","COL1A1"
"15509","Cyp17a1","CYP17A1"
"15510","Slc26a2","SLC26A2"
"15511","Hoxa13","HOXA13"
"15512","Slc11a1","SLC11A1"
"15513","Adh1","ADH1C"
"15514","Aldh3b1","ALDH3B1"
"15515","Cyp2b10","CYP2B6"
"15516","Cyp2f2","CYP2F1"
"15517","Grik3","GRIK3"
"15518","Cyp4f13","CYP4F3"
"15526","Olfr552","OR52K2"
"15532","Olfr110","OR5V1"
"15533","Olfr111","OR5V1"
"15535","Olfr1028","OR5M11"
"15536","Olfr1029","OR5M11"
"15537","Olfr1031","OR5M8"
"15538","Olfr1086","OR5T2"
"15551","Olfr273","OR13C3"
"15555","Olfr31","OR2T1"
"15558","Olfr720","OR2T6"
"15559","Olfr370","OR10K2"
"15561","Olfr1310","OR4F6"
"15562","Olfr1309","OR4F15"
"15586","Olfr790","OR6C75"
"15590","Olfr196","OR5H2"
"15602","Olfr365","OR1L6"
"15619","Olfr1053","OR8K5"
"15628","Olfr728","OR4K1"
"15632","Olfr1111","OR5AS1"
"15647","BC031181","C18orf32"
"15651","Rasl11b","RASL11B"
"15652","Prm3","PRM3"
"15653","Hspa1a","HSPA1A"
"15654","Hspa1a","HSPA1B"
"15655","Fth1","FTH1"
"15656","Uaca","UACA"
"15658","Fer","FER"
"15659","Slc2a3","SLC2A3"
"15660","Pdgfb","PDGFB"
"15683","Ces5a","CES5A"
"15684","Hsp90ab1","HSP90AB1"
"15685","Hspa14","HSPA14"
"15686","Akr1e1","AKR1E2"
"15702","Ccnb2","CCNB2"
"15712","Zfp622","ZNF622"
"15713","Gm3776","GSTA5"
"15714","Gsta1","GSTA5"
"15715","Gsta2","GSTA5"
"15716","Gsta5","GSTA5"
"15717","Slc2a4","SLC2A4"
"15718","Acacb","ACACB"
"15719","Adam8","ADAM8"
"15720","Ang","ANG"
"15721","Cd27","CD27"
"15722","Dnase1l2","DNASE1L2"
"15723","Dpysl2","DPYSL2"
"15724","Dscam","DSCAM"
"15725","Fpr2","FPR2"
"15726","Galr1","GALR1"
"15727","Grid2","GRID2"
"15728","Icam4","ICAM4"
"15729","Actg1","ACTG1"
"15730","C9","C9"
"15731","Cdk2","CDK2"
"15732","Igfl3","IGFL3"
"15733","E2f3","E2F3"
"15734","Eno2","ENO2"
"15735","Gnai1","GNAI1"
"15736","Krt31","KRT31"
"15737","Krt33a","KRT31"
"15738","Krt33b","KRT31"
"15739","Nek2","NEK2"
"15740","Ovgp1","OVGP1"
"15741","Serpinb8","SERPINB8"
"15742","Septin5","SEPTIN5"
"15743","Ptpn3","PTPN3"
"15744","Clip1","CLIP1"
"15745","Shb","SHB"
"15746","Slc2a5","SLC2A5"
"15747","Spta1","SPTA1"
"15748","Ssbp1","SSBP1"
"15749","Tead4","TEAD4"
"15750","Slc30a3","SLC30A3"
"15751","Acox2","ACOX2"
"15752","Mad1l1","MAD1L1"
"15753","Pcdhgb4","PCDHGB4"
"15754","Abcb11","ABCB11"
"15755","Galnt4","GALNT4"
"15756","B3galt2","B3GALT2"
"15757","Iqgap1","IQGAP1"
"15758","Tmprss11d","TMPRSS11D"
"15759","Cbln1","CBLN1"
"15760","Cetn3","CETN3"
"15761","Dtx1","DTX1"
"15762","Gp5","GP5"
"15763","Hnrnpc","HNRNPC"
"15764","Slc16a4","SLC16A4"
"15765","Taok2","TAOK2"
"15766","Pcbp2","PCBP2"
"15767","Scd1","SCD"
"15768","Pglyrp1","PGLYRP1"
"15769","Brd2","BRD2"
"15770","Cacna1f","CACNA1F"
"15771","Cbfa2t3","CBFA2T3"
"15772","Dlx3","DLX3"
"15773","Egfr","EGFR"
"15774","Gpr21","GPR21"
"15775","Maf","MAF"
"15776","Hsf1","HSF1"
"15777","Acsm3","ACSM3"
"15778","Gpr52","GPR52"
"15779","Abcc4","ABCC4"
"15780","Carmil3","CARMIL3"
"15781","Akr1a1","AKR1A1"
"15782","Ntn3","NTN3"
"15783","Sec23b","SEC23B"
"15784","Cap1","CAP1"
"15785","Ifitm2","IFITM2"
"15786","Map3k2","MAP3K2"
"15787","Entr1","ENTR1"
"15788","Cd300c","CD300C"
"15789","Cd300c2","CD300C"
"15790","Sox15","SOX15"
"15791","Zfp715","ZNF175"
"15792","Glipr2","GLIPR2"
"15793","Slc25a37","SLC25A37"
"15794","Pdcl2","PDCL2"
"15795","Csnk1d","CSNK1D"
"15796","Slc25a42","SLC25A42"
"15797","Aatk","AATK"
"15798","Adam12","ADAM12"
"15799","Dtnb","DTNB"
"15800","Evx2","EVX2"
"15801","Pgm5","PGM5"
"15803","Ptpn20","PTPN20"
"15804","Trpc5","TRPC5"
"15806","Adam19","ADAM19"
"15807","Cacna2d3","CACNA2D3"
"15816","Dapk2","DAPK2"
"15817","Adam18","ADAM18"
"15818","Eya1","EYA1"
"15819","Hmg20b","HMG20B"
"15820","Hnrnpab","HNRNPAB"
"15823","Mapt","MAPT"
"15824","Pcdh10","PCDH10"
"15825","Pdcd11","PDCD11"
"15826","Ptpn18","PTPN18"
"15827","Rasgrf1","RASGRF1"
"15829","Slc30a4","SLC30A4"
"15831","Foxl2","FOXL2"
"15832","Tpsg1","TPSG1"
"15833","Olfr411","OR3A3"
"15834","Klk5","KLK5"
"15835","Scn2a","SCN2A"
"15837","Slc16a8","SLC16A8"
"15838","Trhde","TRHDE"
"15839","Cemip2","CEMIP2"
"15841","Nrg2","NRG2"
"15842","Rusc1","RUSC1"
"15843","Nmnat2","NMNAT2"
"15844","Slc9a8","SLC9A8"
"15845","Nipsnap3b","NIPSNAP3A"
"15846","Pnkd","PNKD"
"15847","Rgs22","RGS22"
"15849","Atp11a","ATP11A"
"15850","Hs6st1","HS6ST1"
"15851","Palld","PALLD"
"15852","Luc7l3","LUC7L3"
"15853","Inpp5k","INPP5K"
"15854","Tlr7","TLR7"
"15856","Ino80","INO80"
"15857","Ppp1r12c","PPP1R12C"
"15858","Tmem132a","TMEM132A"
"15859","Slc38a4","SLC38A4"
"15860","Ano1","ANO1"
"15861","Adi1","ADI1"
"15862","Acoxl","ACOXL"
"15863","Gimap4","GIMAP4"
"15864","Cfap44","CFAP44"
"15865","Slc16a10","SLC16A10"
"15866","Phc2","PHC2"
"15867","Pcdha1","PCDHA1"
"15868","Pcdha11","PCDHA11"
"15869","Pcdha6","PCDHA6"
"15870","Pcdhga3","PCDHGA3"
"15871","Pcdhgb7","PCDHGB7"
"15872","Pcdhb5","PCDHB4"
"15873","Zdhhc13","ZDHHC13"
"15875","Tro","TRO"
"15876","Slco1b2","SLCO1B3"
"15877","Ngef","NGEF"
"15879","Cass4","CASS4"
"15880","Cpa6","CPA6"
"15881","Adcy2","ADCY2"
"15882","Col20a1","COL20A1"
"15883","Rdh14","RDH14"
"15884","D17H6S53E","C6orf47"
"15885","Stk32c","STK32C"
"15886","Tesc","TESC"
"15887","Shank3","SHANK3"
"15888","Cep295nl","CEP295NL"
"15891","Chia1","CHIA"
"15892","Celf5","CELF5"
"15893","Thada","THADA"
"15894","Abcg4","ABCG4"
"15896","Eddm3b","EDDM3B"
"15897","Fancf","FANCF"
"15898","Ctbp2","CTBP2"
"15899","Cacnb2","CACNB2"
"15900","Lbhd1","LBHD1"
"15901","Car13","CA13"
"15902","Glb1l","GLB1L"
"15903","Haus3","HAUS3"
"15904","Cyp2r1","CYP2R1"
"15905","Mctp1","MCTP1"
"15906","Bbof1","BBOF1"
"15907","Trib1","TRIB1"
"15909","Erich2","ERICH2"
"15910","Nacc2","NACC2"
"15911","Fam122a","PABIR1"
"15912","Mrnip","MRNIP"
"15913","Golt1a","GOLT1A"
"15914","Eqtn","EQTN"
"15917","Dmrtc2","DMRTC2"
"15918","Fam110c","FAM110C"
"15919","Phykpl","PHYKPL"
"15921","Cyp2s1","CYP2S1"
"15922","Usp50","USP50"
"15923","Prps1l1","PRPS1L1"
"15924","1700012B09Rik","C11orf97"
"15925","Spatc1l","SPATC1L"
"15926","Osbp2","OSBP2"
"15927","Stk33","STK33"
"15928","Zfp457","ZNF93"
"15929","Hnrnpdl","HNRNPDL"
"15930","Nlrp4c","NLRP4"
"15931","Nlrp4e","NLRP4"
"15932","Fam107b","FAM107B"
"15933","Tas1r2","TAS1R2"
"15934","Kcnk16","KCNK16"
"15935","Fam160a2","FHIP1B"
"15936","Atp13a4","ATP13A4"
"15937","Accs","ACCS"
"15938","Tmem141","TMEM141"
"15939","Cdc14a","CDC14A"
"15940","Trim12c","TRIM5"
"15941","Trim5","TRIM5"
"15942","Cnnm4","CNNM4"
"15943","Lipk","LIPK"
"15944","Cyp4x1","CYP4X1"
"15945","H2bu1-ps","H2BU1"
"15946","Gmds","GMDS"
"15947","Ak5","AK5"
"15948","Prmt8","PRMT8"
"15949","Slc36a3","SLC36A3"
"15950","Ipmk","IPMK"
"15951","Slc7a14","SLC7A14"
"15952","Map3k9","MAP3K9"
"15953","Ly6g6d","LY6G6D"
"15954","Fbxw11","FBXW11"
"15955","Tsga13","TSGA13"
"15956","Arhgap33","ARHGAP33"
"15957","Tcf23","TCF23"
"15963","Klf14","KLF14"
"15964","Prx","PRX"
"15965","Slc17a9","SLC17A9"
"15966","Tmem132c","TMEM132C"
"15967","Uroc1","UROC1"
"15969","Serpinb3a","SERPINB4"
"15970","Slc25a45","SLC25A45"
"15971","Ctsl","CTSV"
"15972","Mbnl2","MBNL2"
"15973","Rbbp8nl","RBBP8NL"
"15975","Asb16","ASB16"
"15976","Ccn6","CCN6"
"15977","Oscar","OSCAR"
"15978","Syce1","SYCE1"
"15979","Gipc3","GIPC3"
"15980","Krt25","KRT25"
"15981","Tedc1","TEDC1"
"15982","Slc22a27","SLC22A25"
"15983","Slc22a28","SLC22A25"
"15984","Slc22a29","SLC22A25"
"15985","Slc22a30","SLC22A25"
"15987","Prss33","PRSS33"
"15988","Cep290","CEP290"
"15989","Calml4","CALML4"
"15995","Cfap58","CFAP58"
"15997","Osbpl2","OSBPL2"
"15999","Btbd16","BTBD16"
"16000","Capn12","CAPN12"
"16001","Ube2e2","UBE2E2"
"16002","Dact3","DACT3"
"16003","Dnajb7","DNAJB7"
"16005","Zfp563","ZNF563"
"16007","Ahcyl1","AHCYL1"
"16008","Nags","NAGS"
"16009","Cplx3","CPLX3"
"16020","Glis1","GLIS1"
"16021","Wfdc9","WFDC9"
"16022","Zfp362","ZNF362"
"16023","Ccdc17","CCDC17"
"16024","Scfd2","SCFD2"
"16025","Mlkl","MLKL"
"16026","Apcdd1","APCDD1"
"16028","Catsper2","CATSPER2"
"16029","Mfsd4b1","MFSD4B"
"16030","Kir3dl1","KIR3DL3"
"16031","Kir3dl2","KIR3DL3"
"16032","Atp13a5","ATP13A5"
"16033","Fam71a","FAM71A"
"16034","Ush1c","USH1C"
"16035","Plekhg3","PLEKHG3"
"16036","Ttll11","TTLL11"
"16037","Ifnl2","IFNL3"
"16038","Ifnl3","IFNL3"
"16039","Ccdc134","CCDC134"
"16040","Sh3rf3","SH3RF3"
"16041","Ssc5d","SSC5D"
"16044","Dpy19l2","DPY19L2"
"16045","Csnka2ip","LOC100506944"
"16046","Klk15","KLK15"
"16047","Taar8a","TAAR8"
"16048","Taar8b","TAAR8"
"16049","Taar8c","TAAR8"
"16050","Plxna4","PLXNA4"
"16051","Ccdc71l","CCDC71L"
"16052","Ccdc169","CCDC169"
"16058","Ccdc187","CCDC187"
"16069","Itpripl1","ITPRIPL1"
"16070","Actl9","ACTL9"
"16071","Pirt","PIRT"
"16072","Radil","RADIL"
"16073","Tm6sf2","TM6SF2"
"16074","2410004P03Rik","C2orf50"
"16075","Mamstr","MAMSTR"
"16076","Izumo1","IZUMO1"
"16077","Cyp2u1","CYP2U1"
"16078","Fam189a1","FAM189A1"
"16079","Prss46","PRSS46P"
"16081","Rgs11","RGS11"
"16082","Espnl","ESPNL"
"16083","Tmem95","TMEM95"
"16084","Astn2","ASTN2"
"16085","Ms4a13","MS4A13"
"16086","Cidea","CIDEA"
"16087","Tbc1d10c","TBC1D10C"
"16088","Entpd8","ENTPD8"
"16091","Lipi","LIPI"
"16095","C2cd4a","C2CD4A"
"16096","Tex43","TEX43"
"16097","Xkrx","XKRX"
"16098","Pla2g4f","PLA2G4F"
"16099","Sipa1l3","SIPA1L3"
"16100","Rimbp3","RIMBP3"
"16101","Rimbp3","RIMBP3B"
"16102","Rimbp3","RIMBP3C"
"16103","Tnik","TNIK"
"16104","Fhad1","FHAD1"
"16105","Lrrc38","LRRC38"
"16106","Tmco2","TMCO2"
"16107","Gm11992","C7orf57"
"16108","Zc2hc1b","ZC2HC1B"
"16110","Pabpc1l","PABPC1L"
"16114","Spopl","SPOPL"
"16116","Lrrc69","LRRC69"
"16117","Nanog","NANOG"
"16121","1700011L22Rik","C4orf51"
"16122","Tmem231","TMEM231"
"16123","C2cd4b","C2CD4B"
"16124","Dhrsx","DHRSX"
"16125","Gm21466","SPIN2A"
"16126","Gm21466","SPIN2B"
"16127","Gm21637","SPIN2A"
